package	version	sha256	source_url
processx	3.9.0	417f4cbc28fe89260581b05367a7684ccc5e8606d834930dd0dd0b42c64e1a57	https://cloud.r-project.org/bin/windows/contrib/4.6/processx_3.9.0.zip
progress	1.2.3	929cff913946295b9596dca726fe17bdc3ae678de73218de793ccb08e3cf4694	https://cloud.r-project.org/bin/windows/contrib/4.6/progress_1.2.3.zip
promises	1.5.0	faeedc3e196489a9c91380c81d8ded3be104848b89632c2f0a2721ce7e01e278	https://cloud.r-project.org/bin/windows/contrib/4.6/promises_1.5.0.zip
ps	1.9.3	35585e4175827b590e39d7483446c4dfd3dea06a839f67bc78083cba1d4980ff	https://cloud.r-project.org/bin/windows/contrib/4.6/ps_1.9.3.zip
purrr	1.2.2	dbea641efa37afd50adec06a1e422531ef89451af20aeace40b22a8a610b47e4	https://cloud.r-project.org/bin/windows/contrib/4.6/purrr_1.2.2.zip
ragg	1.5.2	ae0558257a109b8262ce31a1a163c17cb69ef949b1221b331e9281f94fdf1fdd	https://cloud.r-project.org/bin/windows/contrib/4.6/ragg_1.5.2.zip
rappdirs	0.3.4	ce86992b062f86d9627cda69570901a6269676a3a049ad8266c1e694746494ee	https://cloud.r-project.org/bin/windows/contrib/4.6/rappdirs_0.3.4.zip
readxl	1.5.0	53f4197fa021e9450dce680bd46d6c6edf983c8e9e39f32cdef760312613cd39	https://cloud.r-project.org/bin/windows/contrib/4.6/readxl_1.5.0.zip
rematch	2.0.0	b6db8b16229e2855e92234e26b7752c664b4b4a33f22f26bbe525ab68a5ac207	https://cloud.r-project.org/bin/windows/contrib/4.6/rematch_2.0.0.zip
renv	1.2.4	212f3411710630f890a7a2d79361e88d04ad8815f52bca9fcfb494539c644830	https://cloud.r-project.org/bin/windows/contrib/4.6/renv_1.2.4.zip
rlang	1.3.0	bbb30f856e56202f4d1b011de571e9c83b671d57ed41c3e2d98d1d9b950179f2	https://cloud.r-project.org/bin/windows/contrib/4.6/rlang_1.3.0.zip
rmarkdown	2.32	a3852b713a1c2eee3ae49eb1f17587f86366042e9453cc175acefbdfeac372fc	https://cloud.r-project.org/bin/windows/contrib/4.6/rmarkdown_2.32.zip
sass	0.4.10	7ace1eab34958f583c6c35b7252efd869ec1ff6dd0fe02f807d4546ca1cf4038	https://cloud.r-project.org/bin/windows/contrib/4.6/sass_0.4.10.zip
scales	1.4.0	4eed86133f5ccc03fb186c0b0e4cfcd485266aecb80b0ebd6cd4679cbe90db98	https://cloud.r-project.org/bin/windows/contrib/4.6/scales_1.4.0.zip
shiny	1.14.0	b5df3f6e4a561699259cff5cf517abf33b30c5b1a19fd32eedf89844a5a051fd	https://cloud.r-project.org/bin/windows/contrib/4.6/shiny_1.14.0.zip
sourcetools	0.1.7-2	b3fd5302ee5893dbdebab61f1598e5530c7bd8cff4065d05713b0f3ddc9b6f9d	https://cloud.r-project.org/bin/windows/contrib/4.6/sourcetools_0.1.7-2.zip
statmod	1.5.2	a9c6add89af6c42531bae6084073c5e1377b218953f5ec077d163a144663e190	https://cloud.r-project.org/bin/windows/contrib/4.6/statmod_1.5.2.zip
stringi	1.8.9	9efc015dda4622aab581fb6f98f434f4f7e30cbcf7b69fe73f3468d09308ff33	https://cloud.r-project.org/bin/windows/contrib/4.6/stringi_1.8.9.zip
stringr	1.6.0	6e7df38d0a43047a200c15fc810b07753aec8ce6bae12d5078bd0c68b692f6ec	https://cloud.r-project.org/bin/windows/contrib/4.6/stringr_1.6.0.zip
svglite	2.2.2	1e9e414e8ad366cf66f74fdad5374260c11015997fd1abca6d056b3c77326ee4	https://cloud.r-project.org/bin/windows/contrib/4.6/svglite_2.2.2.zip
sys	3.4.3	e8496e483cc488ce2252877aaa5fb598c59e4361f300ffbb8b92283905c8f9da	https://cloud.r-project.org/bin/windows/contrib/4.6/sys_3.4.3.zip
systemfonts	1.3.2	e396f4055a0b7eb8c210a67d93688ac3c796f1da9ff12a59cc56fd7cf94ca8b2	https://cloud.r-project.org/bin/windows/contrib/4.6/systemfonts_1.3.2.zip
textshaping	1.0.5	c4aff6d84b0dfa1da546721d77be57a686992331504fd1e88915d8fcd313de0a	https://cloud.r-project.org/bin/windows/contrib/4.6/textshaping_1.0.5.zip
tibble	3.3.1	7762d8166c1a2a9d0ee32be5772f3c17d125412c502c0a085f7a063eaa2be183	https://cloud.r-project.org/bin/windows/contrib/4.6/tibble_3.3.1.zip
tidyr	1.3.2	b27a032728b935f03112057057a1a3e880b6093684e6ad449a42d14faefbdabb	https://cloud.r-project.org/bin/windows/contrib/4.6/tidyr_1.3.2.zip
tidyselect	1.2.1	192cee5ffcef7cd1a946dfc780827462bb42701397a09c7c6efa6c73ce3d6d64	https://cloud.r-project.org/bin/windows/contrib/4.6/tidyselect_1.2.1.zip
tinytex	0.60	cd20d25647f331f1456fb59a80066a7516f94660bf6fb7eab458d835f840e7c2	https://cloud.r-project.org/bin/windows/contrib/4.6/tinytex_0.60.zip
utf8	1.2.6	b49cf99a7c85962ef9e91cd10bb6b94b9841a92fc5e49cd220fac43d8b4e01ad	https://cloud.r-project.org/bin/windows/contrib/4.6/utf8_1.2.6.zip
vctrs	0.7.3	e5d03d73df4b2d956d0570f622c30e6cc5c4fdd64245edd4e63a1d42e1512140	https://cloud.r-project.org/bin/windows/contrib/4.6/vctrs_0.7.3.zip
viridisLite	0.4.3	9006c1cbfed5db989d42508c522ecfd84343049eb6ae0483644ed5e692007adb	https://cloud.r-project.org/bin/windows/contrib/4.6/viridisLite_0.4.3.zip
withr	3.0.3	fe628e71a6e16615544697901406024e330246f625316d0587e0a58a490c67f9	https://cloud.r-project.org/bin/windows/contrib/4.6/withr_3.0.3.zip
xfun	0.60	ed6e9d27ff776c3261750a077ec1d09f1535c9f660829dd895509ad36078168e	https://cloud.r-project.org/bin/windows/contrib/4.6/xfun_0.60.zip
xtable	1.8-8	fbae3cd2c00fe919f8d7dc1349f4204498cffe70bea19c7d725eed404c2c3e16	https://cloud.r-project.org/bin/windows/contrib/4.6/xtable_1.8-8.zip
yaml	2.3.12	1e95c6911a5db992f6757c80f156f7e4ac0a865de44e0b90d992ea057cf4ec71	https://cloud.r-project.org/bin/windows/contrib/4.6/yaml_2.3.12.zip
zip	3.0.2	7adf18a4c1f643172b66d0704649dfb39e03b2b19d8b7f91238fbb747f29d94f	https://cloud.r-project.org/bin/windows/contrib/4.6/zip_3.0.2.zip
